source,target,value
0,1,0
1,3,0.406381939
2,0,0
3,4,0.606594977
4,13,0.533090361
4,17,0.522320804
5,13,0.412070817
6,14,0.495685472
6,16,0.470707516
6,18,0.445234965
7,2,0
8,9,0.951016171
8,10,0.600015357
8,11,0.58433389
8,16,0.46336221
8,18,0.7033033
9,10,0.63093955
9,11,0.717455407
9,14,0.486554168
9,16,0.555335648
9,18,0.764164487
10,11,0.582171702
10,14,0.545374972
10,16,0.583499815
10,18,0.837876996
11,13,0.408636912
11,14,0.596747095
11,16,0.658885439
11,17,0.433669871
11,18,0.703256887
12,15,0.601872692
13,16,0.423232475
14,16,0.855100996
14,18,0.772085637
15,14,0
16,17,0.503199302
16,18,0.840498901
17,16,0
18,17,0
19,7,0
