,12th,31st,39th,57th,63rd,Albion,Calumet,Foster,Howard,Jarvis,Juneway,Leone,Montrose,North Avenue,Oak Street,Ohio,Osterman,Rainbow,Rogers,South Shore
12th,1,0.158323734,0.176905592,-0.003252927,0.084455999,0.07881355,0.345269023,0.04864401,0.079337997,0.116445885,0.196690036,0.218753251,0.245890426,0.129597929,0.382319769,0.068303925,0.292636391,0.104723946,0.257415322,0.170745599
31st,0.158323734,1,0.013875786,0.406381939,0.293542954,0.032230328,0.230876452,-0.001252896,0.096607732,0.174080979,0.134528069,0.399026899,0.113606763,0.175193413,0.275117973,0.010193437,0.279904828,0.285243229,0.213813396,0.0137495
39th,0.176905592,0.013875786,1,-0.034773775,0.188333728,0.22022745,0.097886278,0.037907407,-0.010808304,0.014195831,-0.025085685,0.240124161,-0.066669497,0.310150542,0.115466519,-0.085242792,0.155192155,0.14274328,0.071114445,0.050933895
57th,-0.003252927,0.406381939,-0.034773775,1,0.606594977,-0.007451856,0.204880591,0.082818934,0.025150715,0.138440101,-0.030628331,0.134474852,0.040589312,0.274136602,0.284041769,0.060230047,0.142306603,0.36581292,-0.010641298,-0.057633322
63rd,0.084455999,0.293542954,0.188333728,0.606594977,1,-0.055811497,0.3365188,0.198704898,-0.008348335,0.035763826,-0.033733077,0.209882983,0.123317935,0.533090361,0.261241533,0.046899065,0.351385322,0.522320804,0.019707858,0.038422772
Albion,0.07881355,0.032230328,0.22022745,-0.007451856,-0.055811497,1,0.029338316,-0.044244229,0.252065074,0.25787879,0.123670264,0.268615777,0.024380963,0.412070817,0.101397164,-0.044254932,0.102763585,0.030652368,0.138786654,0.088971424
Calumet,0.345269023,0.230876452,0.097886278,0.204880591,0.3365188,0.029338316,1,0.046920904,0.257953382,0.281014242,0.360820821,0.353617075,0.041403451,0.16776433,0.495685472,-0.011188822,0.470707516,0.324494159,0.445234965,0.034033972
Foster,0.04864401,-0.001252896,0.037907407,0.082818934,0.198704898,-0.044244229,0.046920904,1,0.108354182,0.095157234,0.110799597,0.149045753,0.100216388,0.172149924,0.174528504,0.002289796,0.30894323,0.172566906,0.18043732,-0.069757314
Howard,0.079337997,0.096607732,-0.010808304,0.025150715,-0.008348335,0.252065074,0.257953382,0.108354182,1,0.951016171,0.600015357,0.58433389,0.335593528,0.277122273,0.343679616,0.005115655,0.46336221,0.195858659,0.7033033,0.031227743
Jarvis,0.116445885,0.174080979,0.014195831,0.138440101,0.035763826,0.25787879,0.281014242,0.095157234,0.951016171,1,0.63093955,0.717455407,0.290102619,0.310409662,0.486554168,0.039316217,0.555335648,0.28626778,0.764164487,-0.018335912
Juneway,0.196690036,0.134528069,-0.025085685,-0.030628331,-0.033733077,0.123670264,0.360820821,0.110799597,0.600015357,0.63093955,1,0.582171702,0.177142746,0.160690271,0.545374972,0.103457762,0.583499815,0.165709073,0.837876996,-0.033432439
Leone,0.218753251,0.399026899,0.240124161,0.134474852,0.209882983,0.268615777,0.353617075,0.149045753,0.58433389,0.717455407,0.582171702,1,0.061555258,0.408636912,0.596747095,-0.014722681,0.658885439,0.433669871,0.703256887,-0.029475069
Montrose,0.245890426,0.113606763,-0.066669497,0.040589312,0.123317935,0.024380963,0.041403451,0.100216388,0.335593528,0.290102619,0.177142746,0.061555258,1,0.103783927,0.074053046,0.601872692,0.128320793,0.048615957,0.183128702,0.115783942
North Avenue,0.129597929,0.175193413,0.310150542,0.274136602,0.533090361,0.412070817,0.16776433,0.172149924,0.277122273,0.310409662,0.160690271,0.408636912,0.103783927,1,0.393618353,-0.042077549,0.423232475,0.260714815,0.244335112,-0.014254788
Oak Street,0.382319769,0.275117973,0.115466519,0.284041769,0.261241533,0.101397164,0.495685472,0.174528504,0.343679616,0.486554168,0.545374972,0.596747095,0.074053046,0.393618353,1,0.074511046,0.855100996,0.394417135,0.772085637,-0.035695587
Ohio,0.068303925,0.010193437,-0.085242792,0.060230047,0.046899065,-0.044254932,-0.011188822,0.002289796,0.005115655,0.039316217,0.103457762,-0.014722681,0.601872692,-0.042077549,0.074511046,1,0.039506162,0.132202748,0.078571195,0.078873764
Osterman,0.292636391,0.279904828,0.155192155,0.142306603,0.351385322,0.102763585,0.470707516,0.30894323,0.46336221,0.555335648,0.583499815,0.658885439,0.128320793,0.423232475,0.855100996,0.039506162,1,0.503199302,0.840498901,-0.019783037
Rainbow,0.104723946,0.285243229,0.14274328,0.36581292,0.522320804,0.030652368,0.324494159,0.172566906,0.195858659,0.28626778,0.165709073,0.433669871,0.048615957,0.260714815,0.394417135,0.132202748,0.503199302,1,0.285253232,-0.100759754
Rogers,0.257415322,0.213813396,0.071114445,-0.010641298,0.019707858,0.138786654,0.445234965,0.18043732,0.7033033,0.764164487,0.837876996,0.703256887,0.183128702,0.244335112,0.772085637,0.078571195,0.840498901,0.285253232,1,-0.019254078
South Shore,0.170745599,0.0137495,0.050933895,-0.057633322,0.038422772,0.088971424,0.034033972,-0.069757314,0.031227743,-0.018335912,-0.033432439,-0.029475069,0.115783942,-0.014254788,-0.035695587,0.078873764,-0.019783037,-0.100759754,-0.019254078,1
